folder,file_count
"Claude Monet","550"
"Vincent van Gogh","505"
"Pierre-Auguste Renoir","496"
"Amazing Stories","359"
"Rembrandt van Rijn","344"
"Peter Paul Rubens","339"
"Edvard Munch","322"
"Édouard Manet","303"
"Gustave Courbet","286"
"Canaletto","268"
"John Singer Sargent","266"
"The Argosy","263"
"Adventure","248"
"Wenceslaus Hollar","247"
"Edouard Manet","245"
"Winslow Homer","241"
"Pablo Picasso","226"
"Eugène Delacroix","223"
"Titian","214"
"Weird Tales","212"
"Marc Chagall","208"
"Daria Sywulak","201"
"Case Hudson","199"
"Johan Christian Dahl","194"
"Jan Steen","188"
"Sebald Beham","187"
"Leonard Baskin","184"
"Hubert Robert","180"
"Lovis Corinth","178"
"Aldo Crommelynck","177"
"Ed Ruscha","173"
"James Webb","167"
"André Dunoyer de Segonzac","166"
"Félix-Hilaire Buhot","163"
"Henri Matisse","158"
"George C. Miller","158"
"Robert Nanteuil","157"
"Albert Bierstadt","156"
"Serge Lozingot","155"
"Josef Albers","155"
"Tintoretto","153"
"Ellsworth Kelly","151"
"Sir Peter Paul Rubens","149"
"Francisco de Goya","147"
"Sol LeWitt","147"
"Allart van Everdingen","145"
"Ambroise Vollard","144"
"Hieronymus Cock","136"
"Albert Besnard","135"
"Johannes van Doetechum the Elder","134"
"Lucas van Doetechum","134"
"Augustin Hirschvogel","133"
"Sir Anthony van Dyck","130"
"Francisco Goya","128"
"Thomas Eakins","127"
"Hans Holbein the Younger","126"
"Odilon Redon","126"
"Frank Stella","123"
"John Constable","122"
"Pieter Bruegel the Elder","122"
"Raphael","120"
"Edgar Degas","118"
"Nicolaes Pieterszoon Berchem","114"
"François Boucher","113"
"Herman van Swanevelt","111"
"Ivan Aivazovsky","110"
"Charles Ritt","109"
"Andy Warhol","108"
"Simon van de Passe","107"
"George Romney","106"
"Alexander Kirillov","105"
"Eliseu Visconti","104"
"Albrecht Altdorfer","104"
"Jean Dubuffet","100"
"Jean Honoré Fragonard","99"
"Kurt Wolff","99"
"Diego Velázquez","97"
"Frederic Remington","97"
"Israhel van Meckenem","97"
"Jean‑François Millet","93"
"Ansel Adams","92"
"Joseph Mallord William Turner","91"
"Käthe Kollwitz","91"
"Pompeo Batoni","90"
"Richard Tuttle","90"
"Ilya Repin","89"
"Caspar David Friedrich","89"
"Auguste Rodin","88"
"Nathan Lerner","88"
"William-Adolphe Bouguereau","85"
"Paul Gauguin","84"
"Rodolphe Darzens","84"
"Balthasar Moncornet","83"
"Catherine Brooks","83"
"Jean-Léon Gérôme","81"
"Lucas Cranach the Elder","81"
"Camille Pissarro","81"
"Jacques-Louis David","75"
"Milton Avery","75"
"Renold Elstrack","75"
"Hans Gude","74"
"Anthony Zepeda","71"
"Thomas Cole","70"
"Joseph Wright of Derby","67"
"Giovanni Battista Tiepolo","67"
"Reinier Nooms, called Zeeman","64"
"James Tissot","62"
"Georges Seurat","59"
"Adriaen van Ostade","57"
"Sandro Botticelli","52"
"Ruth Fine","52"
"Jean-Baptiste Oudry","51"
"Théodore Roussel","51"
"Claes Oldenburg","49"
"Gustav Klimt","48"
"John Flaxman","48"
"Jules Breton","47"
"Vito Acconci","47"
"Lawrence Alma-Tadema","46"
"Léon Bonnat","45"
"Alex Katz","44"
"Sam Francis","44"
"John Cage","43"
"Michelangelo Merisi da Caravaggio","42"
"Alexandre Cabanel","42"
"Edwin Landseer","42"
"Théodore Gericault","42"
"Paul Cezanne","42"
"Artemisia Gentileschi","41"
"Henryk Siemiradzki","41"
"Gustave Moreau","41"
"Sir Joshua Reynolds","39"
"Rudolf von Alt","38"
"Vasily Vereshchagin","37"
"Pierre-Henri de Valenciennes","36"
"Artist unknown","35"
"Jean-Baptiste Camille Corot","34"
"Gustave Doré","32"
"Maxime Maufra","32"
"Pompeo Girolamo Batoni","32"
"Michiel Jansz van Mierevelt","32"
"Johann Heinrich Tischbein","31"
"Jacques Raymond Brascassat","31"
"Frederic Leighton","30"
"Frederick Sommer","30"
"Johannes Vermeer","29"
"Hieronymus Bosch","29"
"John William Waterhouse","28"
"Franz Stuck","27"
"William Trost Richards","26"
"Arnold Böcklin","25"
"Georges de La Tour","25"
"Paul Cézanne","24"
"Louis Jean François Lagrenée","23"
"Marcus Larson","22"
"Anselm Feuerbach","22"
"Joseph Cornell","22"
"Johann Carl Loth","21"
"Gian Lorenzo Bernini","21"
"Janus la Cour","21"
"Norman de Garis Davies","21"
"John William Godward","20"
"Jules Joseph Lefebvre","19"
"Edward Poynter","19"
"John Martin","18"
"François-Joseph Navez","18"
"Norman Rockwell","18"
"Josef Rebell","18"
"Colima","18"
"French","18"
"John Collier","17"
"Jean-Simon Berthélemy","16"
"Peder Balke","16"
"Jan van Eyck","16"
"Gerard ter Borch","15"
"Anthony van Dyck","15"
"Jan van Goyen","15"
"Melchior d'Hondecoeter","15"
"Samuel Colman","14"
"François Lemoyne","14"
"Filippo Palizzi","14"
"Giovanni Segantini","14"
"Paul Émile Chabas","14"
"Leopold Carl Muller","14"
"Pierre-Jacques Volaire","14"
"Charles Meynier","14"
"Alfred Sisley","14"
"Hilaire Germain Edgar Degas","14"
"Jan van Scorel","14"
"Moche","14"
"Ludwig Knaus","13"
"Jean-François Portaels","13"
"Alexander Nasmyth","13"
"Henry Raeburn","13"
"Bartholomeus van der Helst","13"
"Jean Baptiste Camille Corot","13"
"Frans Hals","13"
"Giorgione","12"
"Aelbert Cuyp","12"
"Spanish","12"
"Paolo de Matteis","11"
"Edward Hopper","11"
"Francisco José de Goya y Lucientes","11"
"Gerrit Dou","11"
"Rosalind Solomon","11"
"Jan Lievens","11"
"Arthur Hughes","10"
"Viktor Vasnetsov","10"
"John Singleton Copley","10"
"Adriaen van de Velde","10"
"Paulus Moreelse","10"
"Veracruz, Classic","10"
"Franz Kline","10"
"Evariste-Vital Luminais","9"
"Georges-Antoine Rochegrosse","9"
"Johann Heinrich Wilhelm Tischbein","9"
"Johan Edvard Bergh","9"
"John Ferguson Weir","9"
"Émile Friant","9"
"Jean-Honoré Fragonard","9"
"Théodore Rousseau","9"
"Giovanni di Paolo","9"
"Édouard Jean Vuillard","9"
"German","9"
"Paulus Potter","9"
"Toshiko Takaezu","9"
"Gortzius Geldorp","9"
"Govert Flinck","9"
"Cornelis van der Voort","9"
"James Jebusa Shannon","8"
"Antonie Sminck Pitloo","8"
"Leonardo Coccorante","8"
"Delphin Enjolras","8"
"Carel Willink","8"
"Leonardo da Vinci","8"
"Evelyn De Morgan","8"
"Theodore Géricault","8"
"Hans Memling","8"
"Amedeo Modigliani","8"
"Jean François Millet","8"
"Jan Both","8"
"Emanuel de Witte","8"
"Salvator Rosa","8"
"Charles François Daubigny","8"
"Nicolas Lancret","8"
"Jacob Cornelisz van Oostsanen","8"
"William Dyce","7"
"Luigi Bechi","7"
"Théodore Gudin","7"
"Gabriel Ferrier","7"
"Théodore Géricault","7"
"Guido Reni","7"
"Henri Fantin-Latour","7"
"Honoré-Victorin Daumier","7"
"Antoine Louis Barye","7"
"Benjamin West","7"
"Dirck van Santvoort","7"
"Jean Auguste Dominique Ingres","6"
"Adelsteen Normann","6"
"Paul Friedrich Meyerheim","6"
"Gottfrid Kallstenius","6"
"Adolf Hirschl","6"
"Maxfield Parrish","6"
"Briton Riviere","6"
"Henri de Toulouse-Lautrec","6"
"Francesco Guardi","6"
"Jules Dupré","6"
"William Adolphe Bouguereau","6"
"Theodore Spicer-Simson","6"
"Pieter Pietersz.","6"
"Cornelis Ketel","6"
"Pieter Jansz Saenredam","6"
"Rosa Bonheur","6"
"Netherlandish","6"
"Adolphe Joseph Thomas Monticelli","6"
"Flemish","6"
"Roelant Savery","6"
"Adam Willaerts","6"
"Paul Gervais","5"
"Edmund Leighton","5"
"Walter Crane","5"
"Louis Welden Hawkins","5"
"Eduard Kasparides","5"
"Henry John Stock","5"
"Edward Moran","5"
"Joseph Rebell","5"
"Max Nonnenbruch","5"
"Antonio Canova","5"
"Johann Peter Hasenclever","5"
"Rembrandt","5"
"Gustave Caillebotte","5"
"Olmec","5"
"Joos van Cleve","5"
"Umberto Boccioni","5"
"Seymour Lipton","5"
"Italian","5"
"Berthe Morisot","5"
"Meindert Hobbema","5"
"Nicolas Poussin","5"
"Jacob van Ruisdael","5"
"Alessandro Vittoria","5"
"Lorenzo Monaco","5"
"Jean Charles Cazin","5"
"Constant Troyon","5"
"Cornelis Saftleven","5"
"Pieter Claesz","5"
