folder,file_count
"aaron-bohrod","1"
"aaron-siskind","1"
"abastenia-st-leger-eberle","1"
"abbott-fuller-graves","1"
"abbott-handerson-thayer","1"
"abbott-handerson-thayer-american-1849-1921","1"
"abbott-lawrence-pattison","1"
"abd-al-samad-persian-c-1510-1600","1"
"abelardo-favela","1"
"abel-garcia","1"
"abel-george-warshawsky-american-1883-1962","1"
"abraham-archibald-anderson","1"
"abraham-beerstraten","1"
"abraham-bloemaert","1"
"abraham-bloemaert-dutch-1564-1651","1"
"abraham-bosse","1"
"abraham-brueghel","1"
"abraham-danielsz-hondius","1"
"abraham-de-verwer","1"
"abraham-de-vries","1"
"abraham-diepraam","1"
"abraham-drentwett-i","1"
"abraham-evertsz-van-westerveld","1"
"abraham-genoels","1"
"abraham-hesselink","1"
"abraham-hondius-dutch-c-1625-1695","1"
"abraham-janssens","1"
"abraham-jansz-begeyn","1"
"abraham-jansz-van-diepenbeeck","1"
"abraham-liedts","1"
"abraham-mignon","1"
"abraham-rattner","1"
"abraham-storck","1"
"abraham-van-beijeren","1"
"abraham-van-beyeren-dutch-1620-21-1690","1"
"abraham-van-calraet","1"
"abraham-van-den-hecken","1"
"abraham-van-den-tempel","1"
"abraham-verhoeve","1"
"abraham-vinckenbrinck","1"
"achilles-painter","1"
"adam-august-muller","1"
"adam-camerarius","1"
"adam-colonia","1"
"adam-elsheimer","1"
"adam-emory-albright","1"
"adam-frans-van-der-meulen","1"
"adam-lehr-american-1853-1924","1"
"adam-lenckhardt","1"
"adam-pijnacker","1"
"adam-van-breen","1"
"adam-willaerts","1"
"adelsteen-normann","1"
"adja-yunkers","1"
"adolf-dehn","1"
"adolf-hirschl","1"
"adolf-mosengel","1"
"adolphe-appian-french-1818-1898","1"
"adolphe-charles-edouard-steinheil-french-1850-1908","1"
"adolphe-joseph-thomas-monticelli","1"
"adolphe-monticelli-french-1824-1886","1"
"adolphe-schreyer","1"
"adolph-von-menzel","1"
"adriaen-backer","1"
"adriaen-brouwer","1"
"adriaen-collaert","1"
"adriaen-cornelisz-beeldemaker","1"
"adriaen-hanneman","1"
"adriaen-isenbrant","1"
"adriaen-pietersz-van-de-venne","1"
"adriaen-thomasz-key","1"
"adriaen-van-cronenburg","1"
"adriaen-van-der-kabel","1"
"adriaen-van-der-spelt","1"
"adriaen-van-der-werff","1"
"adriaen-van-de-velde","1"
"adriaen-van-de-velde-dutch-1636-1672","1"
