constituentid,name,image_count
12,"National Gallery of Art",117676
2718,"Lessing Julius Rosenwald",59981
639,"United States Government",55191
9926,"Corcoran Gallery of Art",25129
6747,"Robert Frank",19440
34346,"Dave H. and Reba W. Williams",14487
35,"Samuel H. Kress Foundation",7475
2311,"Georgia O'Keeffe",5015
193,"Ailsa Mellon Bruce Fund",4956
2136,"Jasper Johns",4730
465,"Patrons' Permanent Fund",4333
297,"Gemini G.E.L.",3816
24440,"Phyllis Diebenkorn",3762
76,"Mr. and Mrs. Benjamin B. Smith",3717
27795,"Dan and Mary Solomon",3544
10026,"Mrs. Jacob Kainen",3380
1177,"The Mark Rothko Foundation, Inc.",3378
425,"Paul Mellon",3372
19598,"Kathan Brown",3371
631,"Joseph E. Widener",3303
164,"Mrs. Max Beckmann",3147
1674,"Crown Point Press",3031
7190,"Rudolf L. Baumfeld",2769
1102,"Duveen Brothers, Inc.",2484
1209,"Honoré Daumier",2302
47983,"Hermann Marx",2033
50426,"W. B. Dukes",1967
992,"Mr. and Mrs. Herbert Vogel",1908
9382,"Gustave Dreyfus",1902
9,"Anonymous",1880
2729,"Charles B. J. Févret de Saint-Mémin",1780
5477,"Alfred Stieglitz",1775
21753,"Dr. Ira Jackson",1678
703,"P. & D. Colnaghi & Co., Ltd.",1664
2414,"Jacques Callot",1581
896,"David Tunick, Inc.",1563
138,"George Matthew Adams",1539
1534,"The Armand Hammer Foundation",1538
47589,"Tamarind Institute",1489
3930,"Richard Diebenkorn",1474
46388,"Robert Stana and Thomas Judy",1453
16474,"Eadweard Muybridge",1444
33053,"Gary S. Davis",1395
2819,"American 20th Century",1383
4475,"Jacob Kainen",1367
6779,"Graphicstudio",1315
7174,"Mrs. Walter B. James",1302
870,"Max Beckmann",1141
25202,"Lee and Maria Friedlander",1140
1513,"Mrs. Robert A. Hauslohner",1137
62,"Mrs. Lessing J. Rosenwald",1131
1839,"Mark Rothko",1130
547,"Joshua P. Smith",1085
292,"Mr. and Mrs. Edgar William Garbisch",1077
454,"Mr. John O'Brien",1072
851,"Paul Prouté, S.A.",1057
14440,"Lisa Baskin",1054
441,"Pepita Milmore Memorial Fund",1047
1303,"Joseph F. McCrindle",993
47587,"Susan Steinhauser",973
142,"Mr. W.G. Russell Allen",951
42852,"William Wilson Corcoran",943
52989,"Ross J. Kelbaugh",897
48969,"Léon Victor Raoul Leclerc",874
229,"Chester Dale",868
211,"Mrs. Addie Burr Clark",854
427,"The A.W. Mellon Educational and Charitable Trust",847
48968,"Henry Stevens, Jr.",842
105,"Mr. John Davis Hatch, Jr.",833
982,"Mrs. Sally Avery",817
17142,"C.G. Boerner LLC",780
82,"Mr. Cornelius Van Schaak Roosevelt",763
38240,"Anthony Podesta",761
23010,"Ms. Judy Norrell",757
29738,"Robert Jackson",739
672,"Mr. James A. Bergquist",733
16503,"Robert Adams",733
699,"Christie, Manson & Woods, Ltd.",726
1476,"Alphonse Legros",725
14825,"Estate of Professor William B. O'Neal",720
272,"Ford Foundation",714
1974,"James McNeill Whistler",713
1312,"Mrs. Norma B. Marin",706
306,"Dr. and Mrs. George Benjamin Green",699
33083,"Stephen G. Stein",699
455,"Professor William B. O'Neal",697
26356,"Dr. and Mrs. William H. Gerdts",693
219,"Collectors Committee",672
3368,"June Wayne",654
30149,"Charles Isaacs",639
52254,"Brandywine Workshop and Archives",626
23698,"The Foundation for the Epstein Family Collection",623
36259,"Dr. Pat Kennedy",612
6514,"Lee Friedlander",591
23952,"Gerald Cerny",587
26353,"Universal Limited Art Editions",585
226,"Estate of Frank Crowninshield",579
23895,"Frank Anderson Trapp",577
11671,"Glenstone",574
43421,"Frank B. Bristow",573
4711,"Roy Lichtenstein",567
789,"M. Knoedler & Company",566
48993,"Stephen Arkin",555
549,"University of South Florida Foundation",552
819,"Christopher Mendez",538
1273,"Richard S. Zeisler",538
12844,"Mr. and Mrs. John Pappajohn",535
159,"Mr. and Mrs. Jacques Z. Baruch",534
27063,"Christopher With",528
35798,"Estate of Professor Leo Steinberg",528
1683,"Pace/MacGill Gallery",519
24202,"Mr. and Mrs. Roger Sant",518
192,"Mrs. Ailsa Mellon Bruce",512
6347,"Unknown 19th Century",510
1514,"John C. Marin, Jr.",510
44949,"UBS Art Collection",498
16229,"Fraenkel Gallery",496
2417,"David Young Cameron",491
22573,"Michael and Jane Wilson",489
328,"Professor Julius S. Held",488
31127,"Stiftung Ratjen",474
638,"Woodward Foundation",473
1315,"Jean-Louis Forain",469
426,"Andrew W. Mellon Fund",462
883,"Sotheby's",460
122,"John James Audubon",460
14034,"New Century Fund",458
30210,"Gordon Parks",458
151,"Artemis Fine Arts Inc.",453
1942,"American 19th Century",450
21959,"Richard Misrach",447
1822,"Rembrandt van Rijn",445
2643,"John Marin",440
2834,"German 15th Century",435
525,"William H. Schab Gallery, Inc.",434
5849,"Robert Havell, Jr.",426
2492,"M.C. Escher",416
67,"Mr. and Mrs. Martin Atlas",413
35183,"Alfred H. Moses and Fern M. Schad Fund",411
2474,"Jim Dine",409
668,"Professor and Mrs. Daniel Bell",405
1256,"Albrecht Dürer",399
23184,"Heather and Tony Podesta",397
14571,"Allen Ginsberg",397
13,"Anonymous Artist",391
17716,"Charles Isaacs Photographs",388
1317,"Dr. and Mrs. Kent Minichiello",383
1190,"Benjamin B. Smith",378
22725,"Mr. A. Thompson Ellwanger III and Mr. Gregory E. Mescha",375
1244,"Mr. and Mrs. Werner H. Kramarsky",370
1555,"Estate of John Nichols Estabrook",369
48,"Dr. Ruth B. Benedict",367
19937,"Petersburg Press",365
2678,"Joseph Pennell",362
165,"Professor Daniel Bell",360
6139,"Eggers and Higgins, Architects",360
9720,"Evelyn Stefansson Nef",356
8381,"Peter Arrell Brown Widener",353
2534,"Hendrick Goltzius",353
1113,"George Catlin",353
2569,"Joris Hoefnagel",347
11115,"Mr. Neal Turtell",347
8613,"Private Collection (NGA Former Owner)",343
2389,"Muirhead Bone",343
17023,"Dena Schuckit",342
6715,"Harry Callahan",340
1838,"Dr. Toni G. Marcy",333
16609,"Mary Robinson",332
2835,"German 16th Century",331
2242,"Robert Rauschenberg",331
52817,"David Plowden",328
592,"Mr. Helmut H. Rumbler",327
1568,"Unknown Patron",323
15988,"Hans P. Kraus, Jr., Inc.",317
648,"Thomas Agnew & Sons, Ltd.",315
35953,"Mr. Robert B. Menschel",315
2655,"James McBey",314
2368,"Stefano Della Bella",314
1014,"Helena Gunnarsson",314
1935,"Henri de Toulouse-Lautrec",313
979,"Pierre Bonnard",312
1436,"Ernst Ludwig Kirchner",311
970,"William Blake",308
22433,"Ilse Bing",306
47746,"Professor Thomas Vogler",303
303,"Lucien Goldschmidt, Inc.",302
37005,"Florian Carr Fund",301
8310,"Italian 16th Century",300
5058,"Edvard Munch",297
2947,"Milton Avery",296
1783,"Pablo Picasso",293
10787,"Aldo Crommelynck",292
40405,"Nancy Andrews",292
38355,"Claude Schaefer",289
109,"Mr. and Mrs. Jacob Kainen",289
40310,"Mike Mandel",286
24254,"Mr. Vincent J. Buonanno",283
110,"Mr. Arthur E. Vershbow",282
12458,"Mr. and Mrs. Mark Borghi",282
6716,"Alex Katz",280
1616,"Associated American Artists",278
2572,"Wenceslaus Hollar",272
37190,"Estate of Nathan Lerner",270
1117,"Marc Chagall",267
14928,"James Webb",265
422,"Mark Jacob Millard",265
9784,"Hôtel Drouot",264
1147,"Gerhard E. Pinkus and Marianne Pinkus Trustees of the Community Trust created under the Gerhard E. Pinkus and Marianne Pinkus inter, vivos Trust Agreement, dated 10/28/97",264
