"rank","tag_name","count"
"1","painting","10885"
"2","Print","8635"
"3","portrait","1415"
"4","landscape painting","1100"
"5","european painting","804"
"6","paint","797"
"7","oil paintings (visual works)","604"
"8","religious art","557"
"9","genre art","466"
"10","metropolitan museum of art","459"
"11","1890","355"
"12","impressionism","311"
"13","oil on panel","277"
"14","national gallery of art","262"
"15","van gogh museum","233"
"16","musée d'orsay","217"
"17","1885","215"
"18","still life","211"
"19","1889","205"
"20","1888","198"
"21","1887","191"
"22","barnes foundation","190"
"23","1895","188"
"24","marine art","184"
"25","1900","180"
"26","art institute of chicago","179"
"27","national gallery","170"
"28","1886","169"
"29","1855","159"
"30","1873","155"
"31","realism","154"
"32","1882","151"
"33","1865","150"
"34","1905","149"
"35","1850","147"
"36","1860","147"
"37","1878","146"
"38","1857","145"
"39","1862","143"
"40","1871","143"
"41","1881","140"
"42","nude","140"
"43","1870","134"
"44","hermitage museum","132"
"45","1868","129"
"46","1872","127"
"47","1866","125"
"48","1876","124"
"49","1896","124"
"50","1864","124"
"51","rijksmuseum","117"
"52","1908","115"
"53","1883","115"
"54","self-portrait","112"
"55","1869","108"
"56","1884","102"
"57","post-impressionism","97"
"58","nationalmuseum","95"
"59","history painting","93"
"60","detroit institute of arts","90"
"61","academic art","87"
"62","kröller-müller museum","86"
"63","yale university art gallery","84"
"64","renaissance","78"
"65","1867","76"
"66","museum of fine arts boston","74"
"67","thyssen-bornemisza museum","61"
"68","j. paul getty museum","61"
"69","museum boijmans van beuningen","57"
"70","philadelphia art museum","55"
"71","saint louis art museum","55"
"72","cityscape","52"
"73","animal art","49"
"74","norton simon museum","48"
"75","fine arts museums of san francisco","47"
"76","alte nationalgalerie","46"
"77","pushkin museum of fine arts","46"
"78","dallas museum of art","43"
"79","kunsthaus zürich","42"
"80","1848","41"
"81","1851","39"
"82","1844","34"
"83","floral painting","32"
"84","national galleries scotland","31"
"85","foundation e.g. bührle collection","29"
"86","uffizi gallery","29"
"87","1841","28"
"88","1485","27"
"89","the nelson-atkins museum of art","26"
"90","toledo museum of art","24"
"91","orientalism","23"
"92","aquatint in green from a portfolio of seven color aquatints on wove Somerset paper","18"
"93","museum of modern art","16"
"94","early renaissance","16"
"95","noordbrabants museum","12"
"96","architectural painting","12"
"97","national gallery of canada","11"
"98","courtauld gallery","9"
"99","stedelijk museum amsterdam","8"
"100","naturalism","7"
